term,aliases,cluster,scope,lifecycle_stage,audience,tier,angles,related_terms,claude_specific,definition
Large Language Model,LLM,Foundation Models & LLMs,conceptual,awareness,all,1,"def,cross,history,role",Foundation Model|Token|Pre-training|Hallucination,no,"A neural network trained on massive text datasets to predict and generate language — the core engine behind tools like Claude, GPT-4, and Gemini."
Foundation Model,,Foundation Models & LLMs,conceptual,awareness,all,1,"def,history,cross",Large Language Model|Fine-tuning|Pre-training,no,"A large model trained on broad data at scale that can be adapted to a wide range of downstream tasks without being retrained from scratch."
Pre-training,,Foundation Models & LLMs,technical,awareness,cto|developer,2,"def,process,cross",Fine-tuning|Foundation Model|RLHF,no,"The initial training phase where a model learns general language patterns from vast datasets — before any task-specific adaptation."
Fine-tuning,,Foundation Models & LLMs,technical,evaluation,cto|developer|operator,2,"def,process,failure,cross",Pre-training|RLHF|Instruction Tuning|LoRA,no,"Continuing to train a pre-trained model on a smaller domain-specific dataset to improve performance on targeted tasks."
RLHF,Reinforcement Learning from Human Feedback,Foundation Models & LLMs,technical,awareness,cto|developer,2,"def,process,history",Constitutional AI|Fine-tuning|Alignment,yes,"A training technique where human raters score model outputs and those preferences are used to steer model behavior toward more helpful and less harmful responses."
Constitutional AI,CAI,Foundation Models & LLMs,conceptual,awareness,cto|executive,2,"def,cross,history",RLHF|Alignment|AI Safety,yes,"Anthropic's approach to training Claude using a set of written principles (a 'constitution') to guide model behavior — reducing reliance on human labeling for harmlessness."
Context Window,context length,Foundation Models & LLMs,conceptual,evaluation,all,1,"def,failure,cross,role",Token|Long Context|Prompt Caching,yes,"The maximum amount of text (measured in tokens) a model can process in a single interaction — everything outside the window is invisible to the model."
Token,,Foundation Models & LLMs,conceptual,awareness,all,1,"def,cross,role",Tokenization|Context Window|Cost Optimization,no,"The basic unit an LLM processes — roughly 3/4 of a word in English. Models charge per token and are limited by how many they can handle at once."
Tokenization,,Foundation Models & LLMs,technical,awareness,developer,2,"def,process,cross",Token|Embedding|Context Window,no,"The process of converting raw text into tokens — the numerical units a model actually reads. Different models use different tokenization schemes."
Embedding,,Foundation Models & LLMs,technical,evaluation,developer|cto,2,"def,process,cross",Vector Database|Semantic Search|RAG,no,"A numerical representation of text (or other data) in high-dimensional space — where similar meanings cluster together. The foundation of semantic search."
Attention Mechanism,self-attention,Foundation Models & LLMs,technical,awareness,developer,3,"def,history,cross",Transformer Architecture|Context Window,no,"The core innovation in modern LLMs — allows the model to weigh the relevance of every word against every other word in context, rather than reading sequentially."
Transformer Architecture,Transformer,Foundation Models & LLMs,technical,awareness,developer|cto,3,"def,history,cross",Attention Mechanism|Foundation Model|Large Language Model,no,"The neural network architecture introduced in 2017 that underlies virtually all modern LLMs — characterized by attention mechanisms and parallel processing."
Parameters,model weights,Foundation Models & LLMs,technical,awareness,developer|cto,1,"def,cross,role",Weights|Foundation Model|Quantization,no,"The numerical values inside a model that encode learned knowledge — a 70 billion parameter model has 70 billion tunable values. More parameters ≠ always better."
Weights,,Foundation Models & LLMs,technical,awareness,developer,2,"def,cross",Parameters|Fine-tuning|Quantization,no,"The specific numerical values of model parameters after training — the actual 'knowledge' stored in the model."
Temperature,,Foundation Models & LLMs,conceptual,adoption,all,1,"def,process,failure,role",Top-p Sampling|Hallucination|Structured Output,no,"A parameter controlling response randomness — low temperature (0) produces deterministic outputs; high temperature (1+) increases creativity and variability."
Top-p Sampling,nucleus sampling,Foundation Models & LLMs,technical,adoption,developer,2,"def,process,cross",Temperature|Hallucination,no,"A sampling strategy that restricts the model to choosing from the most probable tokens until their cumulative probability reaches p — balances diversity and coherence."
Hallucination,confabulation,Foundation Models & LLMs,conceptual,awareness,all,1,"def,failure,cross,role,absence",Grounding|RAG|Guardrails|Evals,no,"When a model generates factually incorrect or fabricated information with apparent confidence — the most cited failure mode in enterprise AI adoption."
Grounding,,Foundation Models & LLMs,conceptual,adoption,all,2,"def,process,cross",Hallucination|RAG|Knowledge Graph|Tool Use,no,"Connecting model outputs to verified external sources or real-time data to reduce hallucination and increase factual reliability."
Instruction Tuning,,Foundation Models & LLMs,technical,awareness,developer|cto,2,"def,process,cross,history",Fine-tuning|RLHF|System Prompt,yes,"A fine-tuning approach where models are trained on (instruction, response) pairs — the technique that transformed base LLMs into useful assistants."
Multimodal Model,vision-language model,Foundation Models & LLMs,conceptual,awareness,all,2,"def,cross,role,history",Large Language Model|Vision-Language Model,yes,"A model that can process and generate multiple types of data — typically text and images, sometimes also audio, video, or code."
Quantization,,Foundation Models & LLMs,technical,scaling,developer|cto,3,"def,process,cross",Parameters|Model Inference|Cost Optimization,no,"Reducing the numerical precision of model weights to decrease memory usage and speed up inference — often trading small accuracy losses for large efficiency gains."
Model Distillation,knowledge distillation,Foundation Models & LLMs,technical,scaling,developer|cto,3,"def,process,cross",Fine-tuning|Parameters|Cost Optimization,no,"Training a smaller 'student' model to replicate the behavior of a larger 'teacher' model — producing smaller faster models that retain most of the original's capability."
LoRA,Low-Rank Adaptation,Foundation Models & LLMs,technical,adoption,developer,3,"def,process,cross",Fine-tuning|Parameters|Cost Optimization,no,"A parameter-efficient fine-tuning technique that trains only small adapter matrices rather than all model weights — dramatically reducing compute and storage requirements."
Mixture of Experts,MoE,Foundation Models & LLMs,technical,awareness,developer|cto,3,"def,cross,history",Large Language Model|Parameters|Model Inference,no,"An architecture where different subsets of model parameters ('experts') activate for different inputs — enabling very large models without proportionally large compute costs."
Model Inference,,Foundation Models & LLMs,technical,adoption,developer|cto,2,"def,process,cross,role",Latency|Throughput|Cost Optimization|Quantization,no,"The process of running a trained model to generate outputs from new inputs — what happens every time you send a message to an AI."
AI Agent,autonomous agent,Agents & Orchestration,conceptual,evaluation,all,1,"def,cross,failure,role,history",Multi-agent System|Tool Use|Agentic Workflow|Agent Memory,yes,"An AI system that can take sequences of actions toward a goal — using tools, making decisions, and operating with varying degrees of autonomy."
Multi-agent System,agent swarm,Agents & Orchestration,conceptual,adoption,cto|developer|operator,2,"def,process,cross,failure",AI Agent|Orchestration|Subagent,yes,"An architecture where multiple AI agents collaborate — each handling specialized tasks — coordinated by an orchestrator to accomplish complex goals."
Orchestration,,Agents & Orchestration,conceptual,adoption,cto|developer,2,"def,process,cross,role",Multi-agent System|Subagent|Agentic Workflow,yes,"The coordination layer that routes tasks to appropriate agents or tools — deciding what runs when, in what order, and how outputs feed into subsequent steps."
Subagent,,Agents & Orchestration,technical,adoption,developer,2,"def,cross,role",AI Agent|Orchestration|Multi-agent System,yes,"A specialized agent operating under an orchestrator — focused on a narrow task domain rather than end-to-end goal completion."
Tool Use,function calling,Agents & Orchestration,technical,adoption,developer|cto,2,"def,process,cross,failure",AI Agent|MCP|Agentic Workflow|Structured Output,yes,"The ability for a model to invoke external functions or APIs — enabling agents to search the web, query databases, run code, and interact with systems."
Chain-of-Thought Prompting,CoT,Agents & Orchestration,technical,adoption,developer,2,"def,process,cross,history",Reasoning|ReAct|Prompt Engineering,no,"A prompting technique that instructs the model to 'think step by step' before answering — improving accuracy on complex reasoning tasks by externalizing the reasoning process."
ReAct,Reasoning + Acting,Agents & Orchestration,technical,adoption,developer,3,"def,process,cross",Chain-of-Thought Prompting|Tool Use|AI Agent,no,"A prompting framework that interleaves reasoning traces with tool-use actions — letting agents think about what to do, do it, observe results, and reason further."
Agentic Workflow,,Agents & Orchestration,conceptual,adoption,operator|cto|founder,2,"def,process,cross,role,failure",AI Agent|Orchestration|Human-in-the-Loop,yes,"A workflow where an AI agent handles multi-step tasks autonomously — replacing or augmenting human-driven processes with sequences of AI decisions and actions."
Human-in-the-Loop,HITL,Agents & Orchestration,conceptual,adoption,all,1,"def,process,cross,role",Agentic Workflow|AI Governance|AI Safety,yes,"A design pattern where humans review or approve AI decisions at critical points — balancing automation speed with oversight for high-stakes actions."
Task Decomposition,,Agents & Orchestration,technical,adoption,developer,2,"def,process,cross",AI Agent|Orchestration|Chain-of-Thought Prompting,yes,"Breaking a complex goal into smaller subtasks that can be assigned to agents or tools — a core capability of effective orchestration systems."
Agent Memory,,Agents & Orchestration,conceptual,adoption,developer|cto,2,"def,process,cross,failure",Long-term Memory|Working Memory|RAG|Episodic Memory,yes,"The mechanisms by which an agent retains and retrieves information across steps or sessions — short-term (in-context) and long-term (external storage)."
MCP,Model Context Protocol,Agents & Orchestration,technical,adoption,developer|cto,2,"def,process,cross",Tool Use|AI Agent|Claude,yes,"Anthropic's open protocol for connecting AI models to external tools and data sources — standardizing how agents interact with the systems around them."
Claude Agent SDK,,Agents & Orchestration,technical,adoption,developer,2,"def,process,cross",MCP|AI Agent|Multi-agent System|Claude,yes,"Anthropic's SDK for building multi-agent applications with Claude — providing primitives for orchestration, tool use, and agent-to-agent communication."
Planning,agent planning,Agents & Orchestration,technical,adoption,developer,2,"def,process,cross,failure",Task Decomposition|AI Agent|ReAct,no,"The process by which an agent determines the sequence of steps needed to achieve a goal — ranging from simple linear plans to dynamic replanning based on observations."
